uri,type
http://void.rkbexplorer.com/sparql/,sparql
http://wordnet.rkbexplorer.com/sparql/,sparql
http://www.factforge.net/sparql,sparql
http://www.genome.jp/sparql/linkdb,sparql
http://www.linked-neuron-data.org:3030/,sparql
http://www.rdfabout.com/sparql,sparql
http://www.semantic-systems-biology.org/biogateway/endpoint,sparql
http://www.sparql.org/sparql,sparql
http://www.taxonconcept.org/sparql-endpoint/,sparql
http://www.w3c.es/Prensa/sparql/,sparql
http://www.wasab.dk/morten/2005/04/sparqlette/,sparql
http://www4.wiwiss.fu-berlin.de/dailymed/sparql,sparql
http://www4.wiwiss.fu-berlin.de/dblp/sparql,sparql
http://www4.wiwiss.fu-berlin.de/diseasome/sparql,sparql
http://www4.wiwiss.fu-berlin.de/drugbank/sparql,sparql
http://www4.wiwiss.fu-berlin.de/factbook/sparql,sparql
http://www4.wiwiss.fu-berlin.de/gutendata/sparql,sparql
http://www4.wiwiss.fu-berlin.de/is-group/sparql,sparql
http://zbw.eu/beta/sparql,sparql
http://zbw.eu/beta/sparql/gnd/query,sparql
http://zbw.eu/beta/sparql/stw/query,sparql
https://api.nextprot.org/sparql,sparql
https://colil.dbcls.jp/sparql,sparql
https://data.idref.fr/sparql,sparql
https://datos-abertos.galiciana.gal/pt/sparql,sparql
https://edh-www.adw.uni-heidelberg.de/data/sparql,sparql
https://identifiers.org/services/sparql,sparql
https://jpsearch.go.jp/rdf/sparql/,sparql
https://ldf.fi/mufi/sparql,sparql
https://lod.abes.fr/sparql,sparql
https://query.wikidata.org/bigdata/namespace/wdq/sparql,sparql
https://query.wikidata.org/sparql,sparql
https://rdf.insee.fr/sparql,sparql
https://sophox.org/sparql,sparql
https://sparql.nextprot.org/,sparql
https://sparql.orthodb.org/sparql,sparql
https://sparql.rhea-db.org/sparql,sparql
https://sparql.uniprot.org/sparql,sparql
https://vocabs.ands.org.au/repository/api/sparql/,sparql
https://www.ebi.ac.uk/rdf/services/biomodels/sparql,sparql
https://www.ebi.ac.uk/rdf/services/sparql,sparql
https://www.orpha.net/sparql,sparql
